species,accession
M. perniciosa,PP267522.1
M. perniciosa,PP267523.1
M. perniciosa,PP267524.1
M. perniciosa,PP267525.1
M. perniciosa,PP267526.1
M. perniciosa,PP267527.1
M. perniciosa,PP267528.1
M. perniciosa,PP267529.1
M. perniciosa,PP267530.1
M. perniciosa,PP267531.1
M. perniciosa,PP267532.1
M. perniciosa,PP267533.1
M. perniciosa,PP267534.1
M. perniciosa,PP267535.1
M. perniciosa,PP267536.1
M. perniciosa,PP267537.1
M. perniciosa,PP267538.1
M. perniciosa,PP267539.1
M. perniciosa,PP267540.1
M. perniciosa,PP267541.1
M. perniciosa,PP267542.1
M. perniciosa,PP267543.1
M. perniciosa,PP267544.1
M. perniciosa,PP267545.1
M. perniciosa,PP267546.1
M. perniciosa,PP267547.1
M. perniciosa,PP267548.1
M. perniciosa,PP267549.1
M. perniciosa,PP267550.1
M. roreri,AWSO01000151.1
M. roreri,AY194150.1
M. roreri,AY230254.1
M. roreri,AY230255.1
M. roreri,AY916744.1
M. roreri,AY916745.1
M. roreri,AY916746.1
M. roreri,AY916749.1
M. roreri,AY916750.1
M. roreri,DQ222923.1
M. roreri,DQ222924.1
M. roreri,DQ222925.1
M. roreri,DQ222926.1
M. roreri,DQ222927.1
M. roreri,DQ222928.1
M. roreri,EU047937.1
M. roreri,GU108605.1
M. roreri,GU183375.1
M. roreri,GU183376.1
M. roreri,GU183377.1
M. roreri,GU457436.1
M. roreri,GU457437.1
M. roreri,GU457438.1
M. roreri,HQ231236.1
M. roreri,JF730693.1
M. roreri,JF769489.1
M. roreri,JN241966.1
M. roreri,JN241967.1
M. roreri,JX315272.1
M. roreri,JX315273.1
M. roreri,JX315274.1
M. roreri,JX315275.1
M. roreri,JX315276.1
M. roreri,JX315277.1
M. roreri,JX315278.1
M. roreri,JX315279.1
M. roreri,JX315280.1
M. roreri,JX315281.1
M. roreri,JX315282.1
M. roreri,JX315283.1
M. roreri,JX315284.1
M. roreri,JX315285.1
M. roreri,JX315286.1
M. roreri,JX315287.1
M. roreri,JX315288.1
M. roreri,JX515286.1
M. roreri,JX515287.1
M. roreri,JX515288.1
M. roreri,JX515289.1
M. roreri,JX515290.1
M. roreri,JX515291.1
M. roreri,JX515293.1
M. roreri,JX515294.1
M. roreri,JX515295.1
M. roreri,JX515296.1
M. roreri,JX515297.1
M. roreri,JX515298.1
M. roreri,KF640238.1
M. roreri,KF640239.1
M. roreri,KF640240.1
M. roreri,KF640241.1
M. roreri,KF640242.1
M. roreri,KF640243.1
M. roreri,KF640244.1
M. roreri,KF640245.1
M. roreri,KF640246.1
M. roreri,KM998972.1
M. roreri,KU674835.1
M. roreri,LATX02000046.1
M. roreri,MF139030.1
M. roreri,MF139031.1
M. roreri,MF139032.1
M. roreri,MF139033.1
M. roreri,MF139034.1
M. roreri,MG717343.1
M. roreri,MG717369.1
M. roreri,MH861050.1
M. roreri,MH861051.1
M. roreri,MH872818.1
M. roreri,MH872819.1
M. roreri,MK811385.1
M. roreri,MK811386.1
M. roreri,MT127258.1
M. roreri,MW898034.1
M. roreri,MW898035.1
M. roreri,MW898036.1
M. roreri,MW898037.1
M. roreri,MW898038.1
M. roreri,MW898039.1
M. roreri,MW898040.1
M. roreri,MW898041.1
M. roreri,MW898042.1
M. roreri,MW898043.1
M. roreri,MW898044.1
M. roreri,MW898045.1
M. roreri,MW898046.1
M. roreri,MW898047.1
M. roreri,MW898048.1
M. roreri,MW898049.1
M. roreri,MW898050.1
M. roreri,MW898051.1
M. roreri,MW898052.1
M. roreri,MW898053.1
M. roreri,MW898054.1
M. roreri,MW898055.1
M. roreri,MW898056.1
M. roreri,MW898057.1
M. roreri,MW898058.1
M. roreri,MW898059.1
M. roreri,MW898060.1
M. roreri,MW898061.1
M. roreri,MW898062.1
M. roreri,MW898063.1
M. roreri,MW898064.1
M. roreri,MW898065.1
M. roreri,MW898066.1
M. roreri,MW898067.1
M. roreri,MW898068.1
M. roreri,MW898069.1
M. roreri,MW898070.1
M. roreri,MW898071.1
M. roreri,MW898072.1
M. roreri,MW898073.1
M. roreri,MW898074.1
M. roreri,MW898075.1
M. roreri,MW898076.1
M. roreri,MW898077.1
M. roreri,MW898078.1
M. roreri,MW898079.1
M. roreri,MW898080.1
M. roreri,MW898081.1
